Protein	geneSymbol	diseaseName	diseaseClass	disease
Clusterin	CLU	Polyarthritis, Juvenile, Rheumatoid Factor Negative	C17	Болезни кожи и соединительной ткани
Clusterin	CLU	Polyarthritis, Juvenile, Rheumatoid Factor Positive	C17	Болезни кожи и соединительной ткани
Collagen alpha-1(I) chain	COL1A1	Ehlers-Danlos Syndrome	C17	Болезни кожи и соединительной ткани
Collagen alpha-1(I) chain	COL1A1	Keloid	C17	Болезни кожи и соединительной ткани
Collagen alpha-1(I) chain	COL1A1	Lobstein Disease	C17	Болезни кожи и соединительной ткани
Collagen alpha-1(I) chain	COL1A1	Osteogenesis Imperfecta	C17	Болезни кожи и соединительной ткани
Collagen alpha-1(I) chain	COL1A1	Ehlers-Danlos Syndrome, Autosomal Dominant, Type Unspecified	C17	Болезни кожи и соединительной ткани
Collagen alpha-1(I) chain	COL1A1	EHLERS-DANLOS SYNDROME, ARTHROCHALASIA TYPE	C17	Болезни кожи и соединительной ткани
Collagen alpha-1(I) chain	COL1A1	Osteogenesis imperfecta, dominant perinatal lethal	C17	Болезни кожи и соединительной ткани
Collagen alpha-1(I) chain	COL1A1	Osteogenesis imperfecta type III (disorder)	C17	Болезни кожи и соединительной ткани
Collagen alpha-1(I) chain	COL1A1	Nephrogenic Fibrosing Dermopathy	C17	Болезни кожи и соединительной ткани
Collagen alpha-1(I) chain	COL1A1	EHLERS-DANLOS SYNDROME, ARTHROCHALASIA TYPE, 1	C17	Болезни кожи и соединительной ткани
Collagen alpha-1(III) chain	COL3A1	Ehlers-Danlos Syndrome	C17	Болезни кожи и соединительной ткани
Collagen alpha-1(III) chain	COL3A1	Keloid	C17	Болезни кожи и соединительной ткани
Collagen alpha-1(III) chain	COL3A1	Acrogeria	C17	Болезни кожи и соединительной ткани
Collagen alpha-1(III) chain	COL3A1	Ehlers-Danlos Syndrome, Type IV	C17	Болезни кожи и соединительной ткани
Collagen alpha-2(I) chain	COL1A2	Ehlers-Danlos Syndrome	C17	Болезни кожи и соединительной ткани
Collagen alpha-2(I) chain	COL1A2	Lobstein Disease	C17	Болезни кожи и соединительной ткани
Collagen alpha-2(I) chain	COL1A2	Osteogenesis Imperfecta	C17	Болезни кожи и соединительной ткани
Collagen alpha-2(I) chain	COL1A2	EHLERS-DANLOS SYNDROME, ARTHROCHALASIA TYPE	C17	Болезни кожи и соединительной ткани
Collagen alpha-2(I) chain	COL1A2	Osteogenesis imperfecta, dominant perinatal lethal	C17	Болезни кожи и соединительной ткани
Collagen alpha-2(I) chain	COL1A2	Osteogenesis imperfecta type III (disorder)	C17	Болезни кожи и соединительной ткани
Collagen alpha-2(I) chain	COL1A2	Ehlers-Danlos syndrome, cardiac valvular form	C17	Болезни кожи и соединительной ткани
Collagen alpha-2(I) chain	COL1A2	Ehlers-Danlos syndrome cardiac valvular type	C17	Болезни кожи и соединительной ткани
Collagen alpha-2(I) chain	COL1A2	EHLERS-DANLOS SYNDROME, ARTHROCHALASIA TYPE, 1	C17	Болезни кожи и соединительной ткани
Desmoplakin	DSP	Skin Fragility-Woolly Hair Syndrome	C17	Болезни кожи и соединительной ткани
Desmoplakin	DSP	KERATOSIS PALMOPLANTARIS STRIATA II	C17	Болезни кожи и соединительной ткани
Desmoplakin	DSP	Cardiomyopathy dilated with Woolly hair and keratoderma	C17	Болезни кожи и соединительной ткани
Desmoplakin	DSP	Ectodermal dysplasia/ skin fragility syndrome	C17	Болезни кожи и соединительной ткани
Desmoplakin	DSP	Epidermolysis bullosa, lethal acantholytic	C17	Болезни кожи и соединительной ткани
Desmoplakin	DSP	Severe dermatitis, multiple allergies, metabolic wasting syndrome	C17	Болезни кожи и соединительной ткани
Dickkopf-related protein 1	DKK1	Malignant neoplasm of breast	C17	Болезни кожи и соединительной ткани
Dickkopf-related protein 1	DKK1	Breast Carcinoma	C17	Болезни кожи и соединительной ткани
Dickkopf-related protein 1	DKK1	Mammary Neoplasms, Human	C17	Болезни кожи и соединительной ткани
Dickkopf-related protein 1	DKK1	Mammary Neoplasms	C17	Болезни кожи и соединительной ткани
Dickkopf-related protein 1	DKK1	Mammary Carcinoma, Human	C17	Болезни кожи и соединительной ткани
E-selectin	SELE	Dermatitis, Atopic	C17	Болезни кожи и соединительной ткани
E-selectin	SELE	Urticaria	C17	Болезни кожи и соединительной ткани
E-selectin	SELE	Eczema, Infantile	C17	Болезни кожи и соединительной ткани
E-selectin	SELE	Dermatitis, Allergic Contact	C17	Болезни кожи и соединительной ткани
Elastin	ELN	Cutis Laxa	C17	Болезни кожи и соединительной ткани
Elastin	ELN	Cutis Laxa, Autosomal Dominant	C17	Болезни кожи и соединительной ткани
Gelsolin	GSN	Malignant neoplasm of breast	C17	Болезни кожи и соединительной ткани
Glutathione S-transferase P	GSTP1	Malignant neoplasm of breast	C17	Болезни кожи и соединительной ткани
Glutathione S-transferase P	GSTP1	Breast Carcinoma	C17	Болезни кожи и соединительной ткани
Glutathione S-transferase P	GSTP1	Mammary Neoplasms, Human	C17	Болезни кожи и соединительной ткани
Glutathione S-transferase P	GSTP1	Mammary Neoplasms	C17	Болезни кожи и соединительной ткани
Glutathione S-transferase P	GSTP1	Mammary Carcinoma, Human	C17	Болезни кожи и соединительной ткани
Hepatocyte growth factor-like protein	MST1	Malignant neoplasm of breast	C17	Болезни кожи и соединительной ткани
Hepatocyte growth factor-like protein	MST1	Breast Carcinoma	C17	Болезни кожи и соединительной ткани
Hepatocyte growth factor-like protein	MST1	Mammary Neoplasms, Human	C17	Болезни кожи и соединительной ткани
Hepatocyte growth factor-like protein	MST1	Mammary Neoplasms	C17	Болезни кожи и соединительной ткани
Hepatocyte growth factor-like protein	MST1	Mammary Carcinoma, Human	C17	Болезни кожи и соединительной ткани
Histidine-rich glycoprotein	HRG	Malignant neoplasm of breast	C17	Болезни кожи и соединительной ткани
Histidine-rich glycoprotein	HRG	Breast Carcinoma	C17	Болезни кожи и соединительной ткани
Histidine-rich glycoprotein	HRG	Mammary Neoplasms, Human	C17	Болезни кожи и соединительной ткани
Histidine-rich glycoprotein	HRG	Mammary Neoplasms	C17	Болезни кожи и соединительной ткани
Histidine-rich glycoprotein	HRG	Mammary Carcinoma, Human	C17	Болезни кожи и соединительной ткани
Insulin-like growth factor I	IGF1	Malignant neoplasm of breast	C17	Болезни кожи и соединительной ткани
Insulin-like growth factor I	IGF1	Malignant neoplasm of skin	C17	Болезни кожи и соединительной ткани
Insulin-like growth factor I	IGF1	Skin Neoplasms	C17	Болезни кожи и соединительной ткани
Insulin-like growth factor I	IGF1	Breast Carcinoma	C17	Болезни кожи и соединительной ткани
Insulin-like growth factor I	IGF1	Mammary Neoplasms, Human	C17	Болезни кожи и соединительной ткани
Insulin-like growth factor I	IGF1	Mammary Neoplasms	C17	Болезни кожи и соединительной ткани
Insulin-like growth factor I	IGF1	Mammary Carcinoma, Human	C17	Болезни кожи и соединительной ткани
Interstitial collagenase	MMP1	Malignant neoplasm of breast	C17	Болезни кожи и соединительной ткани
Interstitial collagenase	MMP1	Cockayne-Touraine Disease	C17	Болезни кожи и соединительной ткани
Interstitial collagenase	MMP1	Epidermolysis Bullosa Dystrophica	C17	Болезни кожи и соединительной ткани
Interstitial collagenase	MMP1	Hallopeau-Siemens Disease	C17	Болезни кожи и соединительной ткани
Interstitial collagenase	MMP1	Breast Carcinoma	C17	Болезни кожи и соединительной ткани
Interstitial collagenase	MMP1	Mammary Neoplasms, Human	C17	Болезни кожи и соединительной ткани
Interstitial collagenase	MMP1	Mammary Neoplasms	C17	Болезни кожи и соединительной ткани
Interstitial collagenase	MMP1	Epidermolysis Bullosa Dystrophica, Autosomal Recessive, Localisata Variant	C17	Болезни кожи и соединительной ткани
Interstitial collagenase	MMP1	Epidermolysis Bullosa Dystrophica Inversa, Autosomal Recessive	C17	Болезни кожи и соединительной ткани
Interstitial collagenase	MMP1	Mammary Carcinoma, Human	C17	Болезни кожи и соединительной ткани
Keratin type I cytoskeletal 10	KRT10	Malignant neoplasm of skin	C17	Болезни кожи и соединительной ткани
Keratin type I cytoskeletal 10	KRT10	Skin Neoplasms	C17	Болезни кожи и соединительной ткани
Keratin type I cytoskeletal 10	KRT10	Hyperkeratosis, Epidermolytic	C17	Болезни кожи и соединительной ткани
Keratin type I cytoskeletal 10	KRT10	Pachyonychia Congenita	C17	Болезни кожи и соединительной ткани
Keratin type I cytoskeletal 10	KRT10	Erythrokeratoderma, Reticular	C17	Болезни кожи и соединительной ткани
Keratin type I cytoskeletal 10	KRT10	Ichthyosis, Cyclic, with Epidermolytic Hyperkeratosis	C17	Болезни кожи и соединительной ткани
Keratin type I cytoskeletal 10	KRT10	Congenital reticular ichthyosiform erythroderma	C17	Болезни кожи и соединительной ткани
Keratin type I cytoskeletal 10	KRT10	Keratoderma, Palmoplantar	C17	Болезни кожи и соединительной ткани
Keratin type I cytoskeletal 9	KRT9	Epidermolytic palmoplantar keratoderma of Vorner	C17	Болезни кожи и соединительной ткани
Keratin type I cytoskeletal 9	KRT9	Keratoderma, Palmoplantar, Epidermolytic	C17	Болезни кожи и соединительной ткани
Keratin type I cytoskeletal 9	KRT9	Epidermolytic palmoplantar keratoderma Vorner type	C17	Болезни кожи и соединительной ткани
Keratin type I cytoskeletal 9	KRT9	Keratosis of Greither	C17	Болезни кожи и соединительной ткани
Keratin type I cytoskeletal 9	KRT9	Keratoderma, Palmoplantar	C17	Болезни кожи и соединительной ткани
Keratin-type II cytoskeletal 2 epidermal	KRT2	Ichthyosis Bullosa of Siemens	C17	Болезни кожи и соединительной ткани
Keratin-type II cytoskeletal 2 epidermal	KRT2	Autosomal dominant ichthyosis	C17	Болезни кожи и соединительной ткани
Mannan-binding lectin serine protease 1	MASP1	Incontinentia Pigmenti Achromians	C17	Болезни кожи и соединительной ткани
Mannan-binding lectin serine protease 1	MASP1	Schamberg Disease	C17	Болезни кожи и соединительной ткани
Mannan-binding lectin serine protease 1	MASP1	Pigmentation Disorders	C17	Болезни кожи и соединительной ткани
Matrix Gla protein	MGP	Keutel syndrome	C17	Болезни кожи и соединительной ткани
Matrix metalloproteinase-9	MMP9	Malignant neoplasm of breast	C17	Болезни кожи и соединительной ткани
Matrix metalloproteinase-9	MMP9	Malignant neoplasm of skin	C17	Болезни кожи и соединительной ткани
Matrix metalloproteinase-9	MMP9	Lupus Nephritis	C17	Болезни кожи и соединительной ткани
Matrix metalloproteinase-9	MMP9	Marfan Syndrome	C17	Болезни кожи и соединительной ткани
Matrix metalloproteinase-9	MMP9	Skin Neoplasms	C17	Болезни кожи и соединительной ткани
Matrix metalloproteinase-9	MMP9	Mandibuloacral dysostosis	C17	Болезни кожи и соединительной ткани
Matrix metalloproteinase-9	MMP9	Breast Carcinoma	C17	Болезни кожи и соединительной ткани
Matrix metalloproteinase-9	MMP9	Mammary Neoplasms, Human	C17	Болезни кожи и соединительной ткани
Matrix metalloproteinase-9	MMP9	Mammary Neoplasms	C17	Болезни кожи и соединительной ткани
Matrix metalloproteinase-9	MMP9	Mammary Carcinoma, Human	C17	Болезни кожи и соединительной ткани
Matrix metalloproteinase-9	MMP9	Marfan Syndrome, Type I	C17	Болезни кожи и соединительной ткани
Neutrophil gelatinase-associated lipocalin	LCN2	Rheumatoid Arthritis	C17	Болезни кожи и соединительной ткани
Occludin	OCLN	Malignant neoplasm of breast	C17	Болезни кожи и соединительной ткани
Occludin	OCLN	Breast Carcinoma	C17	Болезни кожи и соединительной ткани
Occludin	OCLN	Mammary Neoplasms, Human	C17	Болезни кожи и соединительной ткани
Occludin	OCLN	Mammary Neoplasms	C17	Болезни кожи и соединительной ткани
Occludin	OCLN	Mammary Carcinoma, Human	C17	Болезни кожи и соединительной ткани
Osteopontin	SPP1	Malignant neoplasm of breast	C17	Болезни кожи и соединительной ткани
Osteopontin	SPP1	Lupus Erythematosus, Systemic	C17	Болезни кожи и соединительной ткани
Osteopontin	SPP1	Dermatitis, Allergic Contact	C17	Болезни кожи и соединительной ткани
Osteopontin	SPP1	Breast Carcinoma	C17	Болезни кожи и соединительной ткани
Osteopontin	SPP1	Mammary Neoplasms, Human	C17	Болезни кожи и соединительной ткани
Osteopontin	SPP1	Mammary Neoplasms	C17	Болезни кожи и соединительной ткани
Osteopontin	SPP1	Mammary Carcinoma, Human	C17	Болезни кожи и соединительной ткани
Oxidized low-density lipoprotein receptor 1	OLR1	Juvenile-Onset Still Disease	C17	Болезни кожи и соединительной ткани
Oxidized low-density lipoprotein receptor 1	OLR1	Juvenile arthritis	C17	Болезни кожи и соединительной ткани
Oxidized low-density lipoprotein receptor 1	OLR1	Juvenile psoriatic arthritis	C17	Болезни кожи и соединительной ткани
Oxidized low-density lipoprotein receptor 1	OLR1	Polyarthritis, Juvenile, Rheumatoid Factor Negative	C17	Болезни кожи и соединительной ткани
Oxidized low-density lipoprotein receptor 1	OLR1	Polyarthritis, Juvenile, Rheumatoid Factor Positive	C17	Болезни кожи и соединительной ткани
Peroxiredoxin-1	PRDX1	Keloid	C17	Болезни кожи и соединительной ткани
Peroxiredoxin-1	PRDX1	Methylmalonic acidemia with homocystinuria	C17	Болезни кожи и соединительной ткани
Peroxiredoxin-2	PRDX2	Keloid	C17	Болезни кожи и соединительной ткани
Pigment epithelium-derived factor	SERPINF1	Keloid	C17	Болезни кожи и соединительной ткани
Pigment epithelium-derived factor	SERPINF1	Osteogenesis Imperfecta	C17	Болезни кожи и соединительной ткани
Pigment epithelium-derived factor	SERPINF1	Osteogenesis imperfecta type III (disorder)	C17	Болезни кожи и соединительной ткани
Pigment epithelium-derived factor	SERPINF1	Osteogenesis Imperfecta, Type VI	C17	Болезни кожи и соединительной ткани
Ras GTPase-activating protein nGAP	RASAL2	Malignant neoplasm of breast	C17	Болезни кожи и соединительной ткани
Serum amyloid A-1	SAA1	Reactive systemic amyloidosis	C17	Болезни кожи и соединительной ткани
Serum amyloid P-component	APCS	Malignant neoplasm of breast	C17	Болезни кожи и соединительной ткани
Serum paraoxonase/arylesterase 1	PON1	Rheumatoid Arthritis	C17	Болезни кожи и соединительной ткани
SPARC	SPARC	Lobstein Disease	C17	Болезни кожи и соединительной ткани
SPARC	SPARC	Osteogenesis Imperfecta	C17	Болезни кожи и соединительной ткани
Spermine oxidase	SMOX	Malignant neoplasm of breast	C17	Болезни кожи и соединительной ткани
Stromelysin-1	MMP3	Malignant neoplasm of breast	C17	Болезни кожи и соединительной ткани
Stromelysin-1	MMP3	Breast Carcinoma	C17	Болезни кожи и соединительной ткани
Stromelysin-1	MMP3	Mammary Neoplasms, Human	C17	Болезни кожи и соединительной ткани
Stromelysin-1	MMP3	Mammary Neoplasms	C17	Болезни кожи и соединительной ткани
Stromelysin-1	MMP3	Mammary Carcinoma, Human	C17	Болезни кожи и соединительной ткани
Tenascin-X B	TNXB	Ehlers-Danlos syndrome caused by tenascin-X deficiency	C17	Болезни кожи и соединительной ткани
Thrombospondin-1	THBS1	Malignant neoplasm of breast	C17	Болезни кожи и соединительной ткани
Thrombospondin-1	THBS1	Juvenile-Onset Still Disease	C17	Болезни кожи и соединительной ткани
Thrombospondin-1	THBS1	Breast Carcinoma	C17	Болезни кожи и соединительной ткани
Thrombospondin-1	THBS1	Mammary Neoplasms, Human	C17	Болезни кожи и соединительной ткани
Thrombospondin-1	THBS1	Mammary Neoplasms	C17	Болезни кожи и соединительной ткани
Thrombospondin-1	THBS1	Juvenile arthritis	C17	Болезни кожи и соединительной ткани
Thrombospondin-1	THBS1	Juvenile psoriatic arthritis	C17	Болезни кожи и соединительной ткани
Thrombospondin-1	THBS1	Polyarthritis, Juvenile, Rheumatoid Factor Negative	C17	Болезни кожи и соединительной ткани
Thrombospondin-1	THBS1	Polyarthritis, Juvenile, Rheumatoid Factor Positive	C17	Болезни кожи и соединительной ткани
Thrombospondin-1	THBS1	Mammary Carcinoma, Human	C17	Болезни кожи и соединительной ткани
Tissue_factor_pathway_inhibitor	TFPI	Juvenile-Onset Still Disease	C17	Болезни кожи и соединительной ткани
Tissue_factor_pathway_inhibitor	TFPI	Juvenile arthritis	C17	Болезни кожи и соединительной ткани
Tissue_factor_pathway_inhibitor	TFPI	Juvenile psoriatic arthritis	C17	Болезни кожи и соединительной ткани
Tissue_factor_pathway_inhibitor	TFPI	Polyarthritis, Juvenile, Rheumatoid Factor Negative	C17	Болезни кожи и соединительной ткани
Tissue_factor_pathway_inhibitor	TFPI	Polyarthritis, Juvenile, Rheumatoid Factor Positive	C17	Болезни кожи и соединительной ткани
Vascular cell adhesion protein 1	VCAM1	Urticaria	C17	Болезни кожи и соединительной ткани
Alpha-1-antitrypsin	SERPINA1	Degenerative Diseases, Central Nervous System	C10	Заболевания нервной системы
Alpha-1-antitrypsin	SERPINA1	Neurodegenerative Disorders	C10	Заболевания нервной системы
Alpha-1-antitrypsin	SERPINA1	Degenerative Diseases, Spinal Cord	C10	Заболевания нервной системы
C-reactive protein	CRP	Meningitis	C10	Заболевания нервной системы
C-reactive protein	CRP	Pachymeningitis	C10	Заболевания нервной системы
Calcitonin	CALCA	Cervical Migraine Syndrome	C10	Заболевания нервной системы
Calcitonin	CALCA	Hemicrania migraine	C10	Заболевания нервной системы
Calcitonin	CALCA	Migraine Disorders	C10	Заболевания нервной системы
Calcitonin	CALCA	Sciatic Neuropathy	C10	Заболевания нервной системы
Calcitonin	CALCA	Lesion of Sciatic Nerve	C10	Заболевания нервной системы
Calcitonin	CALCA	Sciatic Neuritis	C10	Заболевания нервной системы
Calcitonin	CALCA	Abdominal Migraine	C10	Заболевания нервной системы
Calcitonin	CALCA	Common Migraine	C10	Заболевания нервной системы
Calcitonin	CALCA	Status Migrainosus	C10	Заболевания нервной системы
Calcitonin	CALCA	Acute Confusional Migraine	C10	Заболевания нервной системы
Calcitonin	CALCA	Sick Headaches	C10	Заболевания нервной системы
Calcitonin	CALCA	Neuralgia-Neuritis, Sciatic Nerve	C10	Заболевания нервной системы
Calcitonin	CALCA	Sciatic Nerve Palsy	C10	Заболевания нервной системы
Ceruloplasmin	CP	Brain Diseases	C10	Заболевания нервной системы
Ceruloplasmin	CP	Parkinson Disease	C10	Заболевания нервной системы
Ceruloplasmin	CP	Encephalopathies	C10	Заболевания нервной системы
Ferritin heavy chain	FTH1	Degenerative Diseases, Central Nervous System	C10	Заболевания нервной системы
Ferritin heavy chain	FTH1	Neurodegenerative Disorders	C10	Заболевания нервной системы
Ferritin heavy chain	FTH1	Degenerative Diseases, Spinal Cord	C10	Заболевания нервной системы
Ferritin light chain	FTL	Movement Disorders	C10	Заболевания нервной системы
Fibrinogen beta chain	FGB	Parkinson Disease	C10	Заболевания нервной системы
Myeloperoxidase	MPO	Brain Diseases	C10	Заболевания нервной системы
Myeloperoxidase	MPO	Encephalopathies	C10	Заболевания нервной системы
Plasminogen activator inhibitor 1	SERPINE1	nervous system disorder	C10	Заболевания нервной системы
Prolactin	PRL	Basal Ganglia Diseases	C10	Заболевания нервной системы
Prolactin	PRL	Extrapyramidal Disorders	C10	Заболевания нервной системы
Prolactin	PRL	Parkinsonian Disorders	C10	Заболевания нервной системы
Prolactin	PRL	Ramsay Hunt Paralysis Syndrome	C10	Заболевания нервной системы
Prolactin	PRL	Lenticulostriate Disorders	C10	Заболевания нервной системы
Prolactin	PRL	Autosomal Dominant Juvenile Parkinson Disease	C10	Заболевания нервной системы
Prolactin	PRL	Autosomal Dominant Parkinsonism	C10	Заболевания нервной системы
Prolactin	PRL	Autosomal Recessive Parkinsonism	C10	Заболевания нервной системы
Prolactin	PRL	Parkinsonism, Experimental	C10	Заболевания нервной системы
Prolactin	PRL	Familial Juvenile Parkinsonism	C10	Заболевания нервной системы
Prolactin	PRL	Parkinsonism, Juvenile	C10	Заболевания нервной системы
Prolactin	PRL	PARKINSON DISEASE 2, AUTOSOMAL RECESSIVE JUVENILE	C10	Заболевания нервной системы
Serum albumin	ALB	Brain Diseases	C10	Заболевания нервной системы
Serum albumin	ALB	Epilepsy	C10	Заболевания нервной системы
Serum albumin	ALB	Aseptic Meningitis	C10	Заболевания нервной системы
Serum albumin	ALB	Encephalopathies	C10	Заболевания нервной системы
Serum albumin	ALB	Epilepsy, Cryptogenic	C10	Заболевания нервной системы
Serum albumin	ALB	Aura	C10	Заболевания нервной системы
Serum albumin	ALB	Awakening Epilepsy	C10	Заболевания нервной системы
Complement component C8 alpha chain	C8A	Meningitis	C10	Заболевания нервной системы
Complement component C8 alpha chain	C8A	Pachymeningitis	C10	Заболевания нервной системы
Complement component C8 beta chain	C8B	Meningitis	C10	Заболевания нервной системы
Complement component C8 beta chain	C8B	Pachymeningitis	C10	Заболевания нервной системы
Gamma-enolase	ENO2	Parkinson Disease	C10	Заболевания нервной системы
Glutathione peroxidase 3	GPX3	Degenerative Diseases, Central Nervous System	C10	Заболевания нервной системы
Glutathione peroxidase 3	GPX3	Neurodegenerative Disorders	C10	Заболевания нервной системы
Glutathione peroxidase 3	GPX3	Degenerative Diseases, Spinal Cord	C10	Заболевания нервной системы
Intercellular adhesion molecule 1	ICAM1	Peripheral Nervous System Diseases	C10	Заболевания нервной системы
Interleukin-6	IL6	Aseptic Meningitis	C10	Заболевания нервной системы
Interleukin-6	IL6	Parkinson Disease	C10	Заболевания нервной системы
Interleukin-6	IL6	Degenerative Diseases, Central Nervous System	C10	Заболевания нервной системы
Interleukin-6	IL6	Neurodegenerative Disorders	C10	Заболевания нервной системы
Interleukin-6	IL6	Degenerative Diseases, Spinal Cord	C10	Заболевания нервной системы
Interleukin-6	IL6	Peripheral Nervous System Diseases	C10	Заболевания нервной системы
Mannose-binding protein C	MBL2	Peripheral Nervous System Diseases	C10	Заболевания нервной системы
Protein S100-B	S100B	Cerebral Edema	C10	Заболевания нервной системы
Protein S100-B	S100B	Vasogenic Cerebral Edema	C10	Заболевания нервной системы
Protein S100-B	S100B	Cytotoxic Cerebral Edema	C10	Заболевания нервной системы
Protein S100-B	S100B	Vasogenic Brain Edema	C10	Заболевания нервной системы
Protein S100-B	S100B	Cytotoxic Brain Edema	C10	Заболевания нервной системы
Protein S100-B	S100B	Brain Edema	C10	Заболевания нервной системы
Apolipoprotein D	APOD	Degenerative Diseases, Central Nervous System	C10	Заболевания нервной системы
Apolipoprotein D	APOD	Neurodegenerative Disorders	C10	Заболевания нервной системы
Apolipoprotein D	APOD	Degenerative Diseases, Spinal Cord	C10	Заболевания нервной системы
Autism susceptibility gene 2 protein	AUTS2	Epilepsy	C10	Заболевания нервной системы
Autism susceptibility gene 2 protein	AUTS2	Epilepsy, Cryptogenic	C10	Заболевания нервной системы
Autism susceptibility gene 2 protein	AUTS2	Aura	C10	Заболевания нервной системы
Autism susceptibility gene 2 protein	AUTS2	Awakening Epilepsy	C10	Заболевания нервной системы
Beta-nerve growth factor	NGF	Tonic-Clonic Epilepsy	C10	Заболевания нервной системы
Beta-nerve growth factor	NGF	nervous system disorder	C10	Заболевания нервной системы
Beta-nerve growth factor	NGF	Parkinson Disease	C10	Заболевания нервной системы
Beta-nerve growth factor	NGF	Parkinsonian Disorders	C10	Заболевания нервной системы
Beta-nerve growth factor	NGF	Ramsay Hunt Paralysis Syndrome	C10	Заболевания нервной системы
Beta-nerve growth factor	NGF	Degenerative Diseases, Central Nervous System	C10	Заболевания нервной системы
Beta-nerve growth factor	NGF	Neurodegenerative Disorders	C10	Заболевания нервной системы
Beta-nerve growth factor	NGF	Cryptogenic Tonic-Clonic Epilepsy	C10	Заболевания нервной системы
Beta-nerve growth factor	NGF	Epilepsy, Tonic-Clonic, Familial	C10	Заболевания нервной системы
Beta-nerve growth factor	NGF	Epilepsy, Tonic-Clonic, Symptomatic	C10	Заболевания нервной системы
Beta-nerve growth factor	NGF	Degenerative Diseases, Spinal Cord	C10	Заболевания нервной системы
Beta-nerve growth factor	NGF	Autosomal Dominant Juvenile Parkinson Disease	C10	Заболевания нервной системы
Beta-nerve growth factor	NGF	Autosomal Dominant Parkinsonism	C10	Заболевания нервной системы
Beta-nerve growth factor	NGF	Autosomal Recessive Parkinsonism	C10	Заболевания нервной системы
Beta-nerve growth factor	NGF	Parkinsonism, Experimental	C10	Заболевания нервной системы
Beta-nerve growth factor	NGF	Familial Juvenile Parkinsonism	C10	Заболевания нервной системы
Beta-nerve growth factor	NGF	Parkinsonism, Juvenile	C10	Заболевания нервной системы
Beta-nerve growth factor	NGF	PARKINSON DISEASE 2, AUTOSOMAL RECESSIVE JUVENILE	C10	Заболевания нервной системы
Beta-nerve growth factor	NGF	Peripheral Nervous System Diseases	C10	Заболевания нервной системы
Cation-independent mannose-6-phosphate receptor	IGF2R	Parkinson Disease	C10	Заболевания нервной системы
Glial fibrillary acidic protein	GFAP	Epilepsy	C10	Заболевания нервной системы
Glial fibrillary acidic protein	GFAP	nervous system disorder	C10	Заболевания нервной системы
Glial fibrillary acidic protein	GFAP	Parkinson Disease	C10	Заболевания нервной системы
Glial fibrillary acidic protein	GFAP	Epilepsy, Cryptogenic	C10	Заболевания нервной системы
Glial fibrillary acidic protein	GFAP	Aura	C10	Заболевания нервной системы
Glial fibrillary acidic protein	GFAP	Awakening Epilepsy	C10	Заболевания нервной системы
Glial fibrillary acidic protein	GFAP	Peripheral Nervous System Diseases	C10	Заболевания нервной системы
Glutamate receptor ionotropic NMDA 2A	GRIN2A	Epilepsy	C10	Заболевания нервной системы
Glutamate receptor ionotropic NMDA 2A	GRIN2A	Epilepsy, Cryptogenic	C10	Заболевания нервной системы
Glutamate receptor ionotropic NMDA 2A	GRIN2A	Aura	C10	Заболевания нервной системы
Glutamate receptor ionotropic NMDA 2A	GRIN2A	Landau-Kleffner Syndrome	C10	Заболевания нервной системы
Glutamate receptor ionotropic NMDA 2A	GRIN2A	Epilepsy, Rolandic	C10	Заболевания нервной системы
Glutamate receptor ionotropic NMDA 2A	GRIN2A	Awakening Epilepsy	C10	Заболевания нервной системы
Glutamate receptor ionotropic NMDA 2A	GRIN2A	Benign Rolandic Epilepsy	C10	Заболевания нервной системы
Glutamate receptor ionotropic NMDA 2B	GRIN2B	Epilepsy	C10	Заболевания нервной системы
Glutamate receptor ionotropic NMDA 2B	GRIN2B	West Syndrome	C10	Заболевания нервной системы
Glutamate receptor ionotropic NMDA 2B	GRIN2B	Epilepsy, Cryptogenic	C10	Заболевания нервной системы
Glutamate receptor ionotropic NMDA 2B	GRIN2B	Aura	C10	Заболевания нервной системы
Glutamate receptor ionotropic NMDA 2B	GRIN2B	Epileptic encephalopathy	C10	Заболевания нервной системы
Glutamate receptor ionotropic NMDA 2B	GRIN2B	Awakening Epilepsy	C10	Заболевания нервной системы
Glutathione S-transferase P	GSTP1	Parkinson Disease	C10	Заболевания нервной системы
Glutathione S-transferase P	GSTP1	Essential Tremor	C10	Заболевания нервной системы
Glutathione S-transferase P	GSTP1	Familial Tremor	C10	Заболевания нервной системы
Glutathione S-transferase P	GSTP1	Peripheral Nervous System Diseases	C10	Заболевания нервной системы
Heat shock protein beta-1	HSPB1	Spinal muscular atrophy, Jerash type	C10	Заболевания нервной системы
Heat shock protein beta-1	HSPB1	NEURONOPATHY, DISTAL HEREDITARY MOTOR, TYPE IIB	C10	Заболевания нервной системы
Heat shock protein beta-1	HSPB1	Distal Hereditary Motor Neuropathy, Type II	C10	Заболевания нервной системы
Insulin-like growth factor I	IGF1	Demyelinating Diseases	C10	Заболевания нервной системы
Insulin-like growth factor I	IGF1	Demyelination	C10	Заболевания нервной системы
Insulin-like growth factor I	IGF1	Clinically Isolated Syndrome, CNS Demyelinating	C10	Заболевания нервной системы
Insulin-like growth factor I	IGF1	Peripheral Nervous System Diseases	C10	Заболевания нервной системы
Matrix metalloproteinase-9	MMP9	Cerebral Edema	C10	Заболевания нервной системы
Matrix metalloproteinase-9	MMP9	Vasogenic Cerebral Edema	C10	Заболевания нервной системы
