diseaseName	diseaseClass	disease
Dyskinesia, Medication-Induced	C10	Заболевания нервной системы
Narcolepsy-Cataplexy Syndrome	C10	Заболевания нервной системы
Status Dysraphicus	C10	Заболевания нервной системы
Spina Bifida	C10	Заболевания нервной системы
Rachischisis	C10	Заболевания нервной системы
Myelocerebellar Disorder	C10	Заболевания нервной системы
Nonsyndromic Deafness	C10	Заболевания нервной системы
Neuropathy, Painful	C10	Заболевания нервной системы
Coffin-Siris syndrome	C10	Заболевания нервной системы
ALPHA-2-PLASMIN INHIBITOR DEFICIENCY	C15	Болезни кровеносной и лимфатической системы
Anti-plasmin deficiency, congenital	C15	Болезни кровеносной и лимфатической системы
Blood Coagulation Disorders	C15	Болезни кровеносной и лимфатической системы
Disseminated Intravascular Coagulation	C15	Болезни кровеносной и лимфатической системы
Bleeding Disorder, East Texas Type	C15	Болезни кровеносной и лимфатической системы
Thrombophilia, hereditary	C15	Болезни кровеносной и лимфатической системы
Bleeding tendency	C15	Болезни кровеносной и лимфатической системы
Thrombophilia	C15	Болезни кровеносной и лимфатической системы
Anemia	C15	Болезни кровеносной и лимфатической системы
Leukocyte Disorders	C15	Болезни кровеносной и лимфатической системы
Hypoplasminogenemia	C15	Болезни кровеносной и лимфатической системы
Plasminogen Activator Inhibitor-1 Deficiency	C15	Болезни кровеносной и лимфатической системы
Microcytic hypochromic anemia (disorder)	C15	Болезни кровеносной и лимфатической системы
Thrombocytopenia	C15	Болезни кровеносной и лимфатической системы
Hypoalbuminemia	C15	Болезни кровеносной и лимфатической системы
Thrombophilia, Familial, Due To Decreased Release Of Tissue Plasminogen Activator	C15	Болезни кровеносной и лимфатической системы
Protein S Deficiency	C15	Болезни кровеносной и лимфатической системы
Thrombophilia, Hereditary, Due To Protein S Deficiency, Autosomal Recessive	C15	Болезни кровеносной и лимфатической системы
Thrombophilia, Hereditary, Due To Protein S Deficiency, Autosomal Dominant	C15	Болезни кровеносной и лимфатической системы
Hemorrhagic Disorders	C15	Болезни кровеносной и лимфатической системы
Methemoglobinemia	C15	Болезни кровеносной и лимфатической системы
Polycythemia	C15	Болезни кровеносной и лимфатической системы
Erythrocytosis	C15	Болезни кровеносной и лимфатической системы
Hemoglobin M Disease	C15	Болезни кровеносной и лимфатической системы
Erythrocytosis familial, 1	C15	Болезни кровеносной и лимфатической системы
Leukostasis	C15	Болезни кровеносной и лимфатической системы
High molecular weight kininogen deficiency	C15	Болезни кровеносной и лимфатической системы
Kininogen Deficiency, Total	C15	Болезни кровеносной и лимфатической системы
Factor II deficiency	C15	Болезни кровеносной и лимфатической системы
Thrombophilia Due To Histidine-Rich Glycoprotein Deficiency	C15	Болезни кровеносной и лимфатической системы
Thrombophilia Due To Elevated Histidine-Rich Glycoprotein	C15	Болезни кровеносной и лимфатической системы
Thrombophilia due to Thrombomodulin Defect	C15	Болезни кровеносной и лимфатической системы
Antithrombin III Deficiency	C15	Болезни кровеносной и лимфатической системы
Hereditary Antithrombin Deficiency	C15	Болезни кровеносной и лимфатической системы
Hypergammaglobulinemia	C15	Болезни кровеносной и лимфатической системы
Diffuse Large B-Cell Lymphoma	C15	Болезни кровеносной и лимфатической системы
Peripheral T-Cell Lymphoma	C15	Болезни кровеносной и лимфатической системы
Hereditary Factor V Deficiency	C15	Болезни кровеносной и лимфатической системы
THROMBOPHILIA DUE TO ACTIVATED PROTEIN C RESISTANCE (disorder)	C15	Болезни кровеносной и лимфатической системы
Hereditary Factor XI Deficiency	C15	Болезни кровеносной и лимфатической системы
Hereditary Factor XIII Deficiency	C15	Болезни кровеносной и лимфатической системы
Factor XIII, B Subunit, Deficiency Of	C15	Болезни кровеносной и лимфатической системы
Ehlers-Danlos Syndrome	C15	Болезни кровеносной и лимфатической системы
Ehlers-Danlos Syndrome, Autosomal Dominant, Type Unspecified	C15	Болезни кровеносной и лимфатической системы
EHLERS-DANLOS SYNDROME, ARTHROCHALASIA TYPE	C15	Болезни кровеносной и лимфатической системы
Autoimmune Lymphoproliferative Syndrome Type 2B	C15	Болезни кровеносной и лимфатической системы
EHLERS-DANLOS SYNDROME, ARTHROCHALASIA TYPE, 1	C15	Болезни кровеносной и лимфатической системы
Complement deficiency disease	C15	Болезни кровеносной и лимфатической системы
Ehlers-Danlos Syndrome, Type VIII	C15	Болезни кровеносной и лимфатической системы
EHLERS-DANLOS SYNDROME, PERIODONTAL TYPE, 1	C15	Болезни кровеносной и лимфатической системы
Afibrinogenemia	C15	Болезни кровеносной и лимфатической системы
Dysfibrinogenemia, Congenital	C15	Болезни кровеносной и лимфатической системы
Congenital hypofibrinogenemia	C15	Болезни кровеносной и лимфатической системы
Fibrinogen Deficiency	C15	Болезни кровеносной и лимфатической системы
Anemia, Sickle Cell	C15	Болезни кровеносной и лимфатической системы
Hemolytic-Uremic Syndrome	C15	Болезни кровеносной и лимфатической системы
Cooley's anemia	C15	Болезни кровеносной и лимфатической системы
beta Thalassemia	C15	Болезни кровеносной и лимфатической системы
Hemoglobin F Disease	C15	Болезни кровеносной и лимфатической системы
Chronic Lymphocytic Leukemia	C15	Болезни кровеносной и лимфатической системы
Reticulosarcoma	C15	Болезни кровеносной и лимфатической системы
Lymphoma, Mixed-Cell	C15	Болезни кровеносной и лимфатической системы
Lymphoma, Non-Hodgkin	C15	Болезни кровеносной и лимфатической системы
Lymphoma, Undifferentiated	C15	Болезни кровеносной и лимфатической системы
High Grade Lymphoma (neoplasm)	C15	Болезни кровеносной и лимфатической системы
Lymphoma, Intermediate-Grade	C15	Болезни кровеносной и лимфатической системы
Low Grade Lymphoma (neoplasm)	C15	Болезни кровеносной и лимфатической системы
Diffuse Mixed-Cell Lymphoma	C15	Болезни кровеносной и лимфатической системы
Lymphoma, Small Noncleaved-Cell	C15	Болезни кровеносной и лимфатической системы
Thalassemia Minor	C15	Болезни кровеносной и лимфатической системы
Iron deficiency anemia	C15	Болезни кровеносной и лимфатической системы
Thalassemia Intermedia	C15	Болезни кровеносной и лимфатической системы
Lymphoma, Diffuse	C15	Болезни кровеносной и лимфатической системы
Lymphoma, Non-Hodgkin, Familial	C15	Болезни кровеносной и лимфатической системы
Purpura Fulminans	C15	Болезни кровеносной и лимфатической системы
Protein C Deficiency	C15	Болезни кровеносной и лимфатической системы
Thrombophilia, Hereditary, Due To Protein C Deficiency, Autosomal Dominant	C15	Болезни кровеносной и лимфатической системы
THROMBOPHILIA DUE TO PROTEIN C DEFICIENCY, AUTOSOMAL RECESSIVE	C15	Болезни кровеносной и лимфатической системы
Congenital thrombotic disease, due to Protein C deficiency	C15	Болезни кровеносной и лимфатической системы
Activated Protein C Resistance	C15	Болезни кровеносной и лимфатической системы
von Willebrand Disease, Type 1	C15	Болезни кровеносной и лимфатической системы
von Willebrand Disease, Type 2	C15	Болезни кровеносной и лимфатической системы
von Willebrand Disease, Type 3	C15	Болезни кровеносной и лимфатической системы
von Willebrand Disease, Type 2A	C15	Болезни кровеносной и лимфатической системы
von Willebrand Disease, Type 2B	C15	Болезни кровеносной и лимфатической системы
von Willebrand disease type 2M	C15	Болезни кровеносной и лимфатической системы
von Willebrand Disease, Type 2N	C15	Болезни кровеносной и лимфатической системы
Factor VII Deficiency	C15	Болезни кровеносной и лимфатической системы
Hemophilia A	C15	Болезни кровеносной и лимфатической системы
Severe hereditary factor VIII deficiency disease	C15	Болезни кровеносной и лимфатической системы
Factor 8 deficiency, acquired	C15	Болезни кровеносной и лимфатической системы
Autosomal Hemophilia A	C15	Болезни кровеносной и лимфатической системы
Factor VIII Deficiency	C15	Болезни кровеносной и лимфатической системы
Factor X Deficiency	C15	Болезни кровеносной и лимфатической системы
Hereditary factor X deficiency disease	C15	Болезни кровеносной и лимфатической системы
Factor XII Deficiency	C15	Болезни кровеносной и лимфатической системы
Factor Xiii, A Subunit, Deficiency Of	C15	Болезни кровеносной и лимфатической системы
Henoch-Schoenlein Purpura	C15	Болезни кровеносной и лимфатической системы
Vasculitis, Hemorrhagic	C15	Болезни кровеносной и лимфатической системы
Rheumatoid Purpura	C15	Болезни кровеносной и лимфатической системы
Purpura, Nonthrombocytopenic	C15	Болезни кровеносной и лимфатической системы
Purpura Hemorrhagica	C15	Болезни кровеносной и лимфатической системы
Atypical Hemolytic Uremic Syndrome	C15	Болезни кровеносной и лимфатической системы
alpha-Thalassemia	C15	Болезни кровеносной и лимфатической системы
Hydrops Fetalis	C15	Болезни кровеносной и лимфатической системы
Polycythemia Vera	C15	Болезни кровеносной и лимфатической системы
Hemoglobin Bart's hydrops syndrome	C15	Болезни кровеносной и лимфатической системы
Hydrops Fetalis, Non-Immune	C15	Болезни кровеносной и лимфатической системы
Alpha-thalassemia/mental retardation syndrome (301040) is an allelic disorder	C15	Болезни кровеносной и лимфатической системы
Heinz Body Anemias	C15	Болезни кровеносной и лимфатической системы
Alpha-Thalassemia Mental Retardation Syndrome, Deletion-Type	C15	Болезни кровеносной и лимфатической системы
Hemoglobin H Disease	C15	Болезни кровеносной и лимфатической системы
Adult T-Cell Lymphoma/Leukemia	C15	Болезни кровеносной и лимфатической системы
Angiolymphoid hyperplasia	C15	Болезни кровеносной и лимфатической системы
Multiple Myeloma	C15	Болезни кровеносной и лимфатической системы
Inherited Factor II deficiency	C15	Болезни кровеносной и лимфатической системы
Hereditary factor II deficiency disease	C15	Болезни кровеносной и лимфатической системы
Hypoprothrombinemias	C15	Болезни кровеносной и лимфатической системы
Mycosis Fungoides	C15	Болезни кровеносной и лимфатической системы
Sezary Syndrome	C15	Болезни кровеносной и лимфатической системы
Myeloid Leukemia, Chronic	C15	Болезни кровеносной и лимфатической системы
Hematopoietic Neoplasms	C15	Болезни кровеносной и лимфатической системы
Hematologic Neoplasms	C15	Болезни кровеносной и лимфатической системы
EHLERS-DANLOS SYNDROME, DERMATOSPARAXIS TYPE	C15	Болезни кровеносной и лимфатической системы
Sea-Blue Histiocyte Syndrome	C15	Болезни кровеносной и лимфатической системы
Burkitt Lymphoma	C15	Болезни кровеносной и лимфатической системы
Precursor B-cell lymphoblastic leukemia	C15	Болезни кровеносной и лимфатической системы
Hyper-IgM Immunodeficiency Syndrome, Type 1	C15	Болезни кровеносной и лимфатической системы
Hemophilia B	C15	Болезни кровеносной и лимфатической системы
Thrombophilia, X-Linked, Due To Factor Ix Defect	C15	Болезни кровеносной и лимфатической системы
Ehlers-Danlos Syndrome, Type IV	C15	Болезни кровеносной и лимфатической системы
Ehlers-Danlos syndrome, cardiac valvular form	C15	Болезни кровеносной и лимфатической системы
Ehlers-Danlos syndrome cardiac valvular type	C15	Болезни кровеносной и лимфатической системы
Hodgkin Disease	C15	Болезни кровеносной и лимфатической системы
Mixed Cellularity Hodgkin Lymphoma	C15	Болезни кровеносной и лимфатической системы
Hodgkin lymphoma, lymphocyte depletion	C15	Болезни кровеносной и лимфатической системы
Adult Hodgkin Lymphoma	C15	Болезни кровеносной и лимфатической системы
Lymphocyte Rich Classical Hodgkin Lymphoma	C15	Болезни кровеносной и лимфатической системы
Nodular Lymphocyte Predominant Hodgkin Lymphoma	C15	Болезни кровеносной и лимфатической системы
Small Lymphocytic Lymphoma	C15	Болезни кровеносной и лимфатической системы
Agammaglobulinemia	C15	Болезни кровеносной и лимфатической системы
Hypogammaglobulinemia	C15	Болезни кровеносной и лимфатической системы
Agammaglobulinemia, non-Bruton type	C15	Болезни кровеносной и лимфатической системы
Chronic myeloproliferative disorder	C15	Болезни кровеносной и лимфатической системы
Lymphoma	C15	Болезни кровеносной и лимфатической системы
Myelocerebellar Disorder	C15	Болезни кровеносной и лимфатической системы
Ehlers-Danlos syndrome caused by tenascin-X deficiency	C15	Болезни кровеносной и лимфатической системы
Purpura, Thrombotic Thrombocytopenic	C15	Болезни кровеносной и лимфатической системы
Congenital Thrombotic Thrombocytopenic Purpura	C15	Болезни кровеносной и лимфатической системы
Familial Thrombotic Thrombocytopenic Purpura	C15	Болезни кровеносной и лимфатической системы
Lymphangioleiomyomatosis	C15	Болезни кровеносной и лимфатической системы
Mental Depression	F01	Поведение и механизмы поведения
Depressed mood	F01	Поведение и механизмы поведения
Depressive Symptoms	F01	Поведение и механизмы поведения
Alopecia-Mental Retardation Syndrome 1	F01	Поведение и механизмы поведения
Perniola Krajewska Carnevale syndrome	F01	Поведение и механизмы поведения
AMR Syndrome	F01	Поведение и механизмы поведения
Profound Mental Retardation	F01	Поведение и механизмы поведения
Mental Retardation, Psychosocial	F01	Поведение и механизмы поведения
Mental deficiency	F01	Поведение и механизмы поведения
Intellectual Disability	F01	Поведение и механизмы поведения
Alpha-Thalassemia Mental Retardation Syndrome, Deletion-Type	F01	Поведение и механизмы поведения
Amnesia	F01	Поведение и механизмы поведения
Delirium	F01	Поведение и механизмы поведения
Hysterical amnesia	F01	Поведение и механизмы поведения
Temporary Amnesia	F01	Поведение и механизмы поведения
Dissociative Amnesia	F01	Поведение и механизмы поведения
Global Amnesia	F01	Поведение и механизмы поведения
Tactile Amnesia	F01	Поведение и механизмы поведения
Amnestic State	F01	Поведение и механизмы поведения
Neurobehavioral Manifestations	F01	Поведение и механизмы поведения
Early-onset epileptic encephalopathy and intellectual disability due to GRIN2A mutation	F01	Поведение и механизмы поведения
Memory Disorders	F01	Поведение и механизмы поведения
Memory impairment	F01	Поведение и механизмы поведения
Akathisia	F01	Поведение и механизмы поведения
Age-Related Memory Disorders	F01	Поведение и механизмы поведения
Memory Disorder, Semantic	F01	Поведение и механизмы поведения
Memory Disorder, Spatial	F01	Поведение и механизмы поведения
Memory Loss	F01	Поведение и механизмы поведения
Psychomotor Agitation	F01	Поведение и механизмы поведения
Coffin-Siris syndrome	F01	Поведение и механизмы поведения
Autoimmune Diseases	C20	Болезни имунной системы
Antibody Deficiency Syndrome	C20	Болезни имунной системы
Immunologic Deficiency Syndromes	C20	Болезни имунной системы
Hypersensitivity	C20	Болезни имунной системы
Allergic Reaction	C20	Болезни имунной системы
Delayed Hypersensitivity	C20	Болезни имунной системы
Graft-vs-Host Disease	C20	Болезни имунной системы
Immediate hypersensitivity	C20	Болезни имунной системы
anaphylaxis	C20	Болезни имунной системы
Antiphospholipid Syndrome	C20	Болезни имунной системы
Immune Complex Diseases	C20	Болезни имунной системы
HIV Infections	C20	Болезни имунной системы
HIV Coinfection	C20	Болезни имунной системы
Drug Eruptions	C20	Болезни имунной системы
Membranous glomerulonephritis	C20	Болезни имунной системы
Idiopathic Membranous Glomerulonephritis	C20	Болезни имунной системы
Morbilliform Drug Reaction	C20	Болезни имунной системы
Heymann Nephritis	C20	Болезни имунной системы
Hypergammaglobulinemia	C20	Болезни имунной системы
Diffuse Large B-Cell Lymphoma	C20	Болезни имунной системы
Peripheral T-Cell Lymphoma	C20	Болезни имунной системы
Bare Lymphocyte Syndrome, Type I	C20	Болезни имунной системы
Rheumatoid Arthritis	C20	Болезни имунной системы
Diabetes Mellitus, Insulin-Dependent	C20	Болезни имунной системы
Lupus Erythematosus, Systemic	C20	Болезни имунной системы
Diabetes, Autoimmune	C20	Болезни имунной системы
Libman-Sacks Disease	C20	Болезни имунной системы
Brittle diabetes	C20	Болезни имунной системы
Diabetes Mellitus, Ketosis-Prone	C20	Болезни имунной системы
Diabetes Mellitus, Sudden-Onset	C20	Болезни имунной системы
Autoimmune Lymphoproliferative Syndrome Type 2B	C20	Болезни имунной системы
IGA Glomerulonephritis	C20	Болезни имунной системы
Complement deficiency disease	C20	Болезни имунной системы
Lupus Erythematosus	C20	Болезни имунной системы
Complement component 5 deficiency	C20	Болезни имунной системы
Complement Component 6 Deficiency	C20	Болезни имунной системы
Complement Factor D Deficiency	C20	Болезни имунной системы
GLOMERULOPATHY WITH FIBRONECTIN DEPOSITS 2 (disorder)	C20	Болезни имунной системы
Glomerulopathy with fibronectin deposits	C20	Болезни имунной системы
Autoimmune Chronic Hepatitis	C20	Болезни имунной системы
Urticaria	C20	Болезни имунной системы
Angioedemas, Hereditary	C20	Болезни имунной системы
Lupus Nephritis	C20	Болезни имунной системы
Hereditary C1 esterase inhibitor deficiency - deficient factor	C20	Болезни имунной системы
Hereditary C1 esterase inhibitor deficiency - dysfunctional factor	C20	Болезни имунной системы
Complement Component 4, Partial Deficiency Of	C20	Болезни имунной системы
Hereditary Angioedema Type II	C20	Болезни имунной системы
Hereditary Angioedema Types I and II	C20	Болезни имунной системы
Hereditary Angioedema Type I	C20	Болезни имунной системы
Acquired angioedema	C20	Болезни имунной системы
Respiratory Hypersensitivity	C20	Болезни имунной системы
Angioedema	C20	Болезни имунной системы
Toxic Epidermal Necrolysis	C20	Болезни имунной системы
Glomerulonephritis, Membranoproliferative	C20	Болезни имунной системы
HIV Seropositivity	C20	Болезни имунной системы
Rhinitis, Allergic, Perennial	C20	Болезни имунной системы
Serum Sickness	C20	Болезни имунной системы
Stevens-Johnson Syndrome	C20	Болезни имунной системы
Membranoproliferative Glomerulonephritis, Type I	C20	Болезни имунной системы
Membranoproliferative Glomerulonephritis, Type II	C20	Болезни имунной системы
Drug-Induced Stevens Johnson Syndrome	C20	Болезни имунной системы
Membranoproliferative Glomerulonephritis, Type III	C20	Болезни имунной системы
Mycoplasma-Induced Stevens-Johnson Syndrome	C20	Болезни имунной системы
Stevens-Johnson Syndrome Toxic Epidermal Necrolysis Spectrum	C20	Болезни имунной системы
Autoimmune thyroiditis	C20	Болезни имунной системы
Dermatitis, Allergic Contact	C20	Болезни имунной системы
Chronic Lymphocytic Leukemia	C20	Болезни имунной системы
Reticulosarcoma	C20	Болезни имунной системы
Lymphoma, Mixed-Cell	C20	Болезни имунной системы
Lymphoma, Non-Hodgkin	C20	Болезни имунной системы
Lymphoma, Undifferentiated	C20	Болезни имунной системы
High Grade Lymphoma (neoplasm)	C20	Болезни имунной системы
Lymphoma, Intermediate-Grade	C20	Болезни имунной системы
Low Grade Lymphoma (neoplasm)	C20	Болезни имунной системы
Diffuse Mixed-Cell Lymphoma	C20	Болезни имунной системы
Lymphoma, Small Noncleaved-Cell	C20	Болезни имунной системы
Severe Combined Immunodeficiency	C20	Болезни имунной системы
Bare Lymphocyte Syndrome	C20	Болезни имунной системы
Combined immunodeficiency	C20	Болезни имунной системы
Omenn Syndrome	C20	Болезни имунной системы
Lymphoma, Diffuse	C20	Болезни имунной системы
Lymphoma, Non-Hodgkin, Familial	C20	Болезни имунной системы
Juvenile-Onset Still Disease	C20	Болезни имунной системы
Juvenile arthritis	C20	Болезни имунной системы
Juvenile psoriatic arthritis	C20	Болезни имунной системы
Polyarthritis, Juvenile, Rheumatoid Factor Negative	C20	Болезни имунной системы
Polyarthritis, Juvenile, Rheumatoid Factor Positive	C20	Болезни имунной системы
Hereditary Angioedema Type III	C20	Болезни имунной системы
Hereditary angioedema with normal C1 esterase inhibitor activity	C20	Болезни имунной системы
Pemphigus	C20	Болезни имунной системы
Pemphigus Vulgaris	C20	Болезни имунной системы
Henoch-Schoenlein Purpura	C20	Болезни имунной системы
Vasculitis, Hemorrhagic	C20	Болезни имунной системы
Rheumatoid Purpura	C20	Болезни имунной системы
Purpura, Nonthrombocytopenic	C20	Болезни имунной системы
Pemphigus Foliaceus	C20	Болезни имунной системы
Purpura Hemorrhagica	C20	Болезни имунной системы
COMPLEMENT COMPONENT 3 DEFICIENCY, AUTOSOMAL RECESSIVE	C20	Болезни имунной системы
Complement Component 7 Deficiency	C20	Болезни имунной системы
C9 Deficiency	C20	Болезни имунной системы
Myasthenia Gravis	C20	Болезни имунной системы
Myasthenia Gravis, Generalized	C20	Болезни имунной системы
Myasthenia Gravis, Ocular	C20	Болезни имунной системы
Hydrops Fetalis	C20	Болезни имунной системы
Hydrops Fetalis, Non-Immune	C20	Болезни имунной системы
Asthma	C20	Болезни имунной системы
Multiple Sclerosis	C20	Болезни имунной системы
Multiple Sclerosis, Acute Fulminating	C20	Болезни имунной системы
Dermatitis, Atopic	C20	Болезни имунной системы
Drug Allergy	C20	Болезни имунной системы
Adult T-Cell Lymphoma/Leukemia	C20	Болезни имунной системы
Eczema, Infantile	C20	Болезни имунной системы
Angiolymphoid hyperplasia	C20	Болезни имунной системы
Multiple Myeloma	C20	Болезни имунной системы
HIV Wasting Syndrome	C20	Болезни имунной системы
Systemic onset juvenile chronic arthritis	C20	Болезни имунной системы
Rheumatoid Arthritis, Systemic Juvenile	C20	Болезни имунной системы
Mycosis Fungoides	C20	Болезни имунной системы
Sezary Syndrome	C20	Болезни имунной системы
Graves Disease	C20	Болезни имунной системы
Multiple Sclerosis, Acute Relapsing	C20	Болезни имунной системы
Multiple Sclerosis, Relapsing-Remitting	C20	Болезни имунной системы
Burkitt Lymphoma	C20	Болезни имунной системы
Precursor B-cell lymphoblastic leukemia	C20	Болезни имунной системы
Hyper-IgM Immunodeficiency Syndrome, Type 1	C20	Болезни имунной системы
Complement Component C1s Deficiency	C20	Болезни имунной системы
Complement Factor H Deficiency	C20	Болезни имунной системы
Complement Factor I (C3 inactivator) deficiency	C20	Болезни имунной системы
Complement Component 4a Deficiency	C20	Болезни имунной системы
Neuromyelitis Optica	C20	Болезни имунной системы
Hodgkin Disease	C20	Болезни имунной системы
Mixed Cellularity Hodgkin Lymphoma	C20	Болезни имунной системы
Hodgkin lymphoma, lymphocyte depletion	C20	Болезни имунной системы
Adult Hodgkin Lymphoma	C20	Болезни имунной системы
Lymphocyte Rich Classical Hodgkin Lymphoma	C20	Болезни имунной системы
Nodular Lymphocyte Predominant Hodgkin Lymphoma	C20	Болезни имунной системы
Small Lymphocytic Lymphoma	C20	Болезни имунной системы
Agammaglobulinemia	C20	Болезни имунной системы
Hypogammaglobulinemia	C20	Болезни имунной системы
Agammaglobulinemia, non-Bruton type	C20	Болезни имунной системы
MASP2 Deficiency	C20	Болезни имунной системы
Experimental Autoimmune Encephalomyelitis	C20	Болезни имунной системы
Granulomatosis with polyangiitis	C20	Болезни имунной системы
Pseudo-TORCH syndrome	C20	Болезни имунной системы
PSEUDO-TORCH SYNDROME 1	C20	Болезни имунной системы
IgE RESPONSIVENESS, ATOPIC	C20	Болезни имунной системы
Platelet-Activating Factor Acetylhydrolase Deficiency	C20	Болезни имунной системы
Lymphoma	C20	Болезни имунной системы
Lymphangioleiomyomatosis	C20	Болезни имунной системы
Arthritis, Adjuvant-Induced	C05	Заболевания опорно-двигательной системы
Arthritis, Collagen-Induced	C05	Заболевания опорно-двигательной системы
Arthritis, Experimental	C05	Заболевания опорно-двигательной системы
Degenerative polyarthritis	C05	Заболевания опорно-двигательной системы
Osteoarthrosis Deformans	C05	Заболевания опорно-двигательной системы
Arthritis	C05	Заболевания опорно-двигательной системы
Polyarthritis	C05	Заболевания опорно-двигательной системы
Intermittent joint effusion	C05	Заболевания опорно-двигательной системы
Bone Diseases	C05	Заболевания опорно-двигательной системы
TORG-WINCHESTER SYNDROME	C05	Заболевания опорно-двигательной системы
Bone Resorption	C05	Заболевания опорно-двигательной системы
Osteoarthritis of hip	C05	Заболевания опорно-двигательной системы
Arthropathy	C05	Заболевания опорно-двигательной системы
Osteolysis	C05	Заболевания опорно-двигательной системы
Contracture	C05	Заболевания опорно-двигательной системы
Intervertebral Disc Degeneration	C05	Заболевания опорно-двигательной системы
Degenerative Intervertebral Discs	C05	Заболевания опорно-двигательной системы
Rheumatoid Arthritis	C05	Заболевания опорно-двигательной системы
Osteoporosis, Age-Related	C05	Заболевания опорно-двигательной системы
Cortical Congenital Hyperostosis	C05	Заболевания опорно-двигательной системы
Lobstein Disease	C05	Заболевания опорно-двигательной системы
Osteogenesis Imperfecta	C05	Заболевания опорно-двигательной системы
Osteoporosis	C05	Заболевания опорно-двигательной системы
Osteoporosis, Senile	C05	Заболевания опорно-двигательной системы
Osteogenesis imperfecta, dominant perinatal lethal	C05	Заболевания опорно-двигательной системы
Osteogenesis imperfecta type III (disorder)	C05	Заболевания опорно-двигательной системы
Post-Traumatic Osteoporosis	C05	Заболевания опорно-двигательной системы
Disproportionate short stature	C05	Заболевания опорно-двигательной системы
Dermatomyositis	C05	Заболевания опорно-двигательной системы
Adult type dermatomyositis	C05	Заболевания опорно-двигательной системы
Dermatomyositis, Childhood Type	C05	Заболевания опорно-двигательной системы
Spondylometaphyseal dysplasia, 'corner fracture' type	C05	Заболевания опорно-двигательной системы
Compartment syndromes	C05	Заболевания опорно-двигательной системы
Russell-Silver syndrome	C05	Заболевания опорно-двигательной системы
Myopathy	C05	Заболевания опорно-двигательной системы
Congenital Hypothyroidism	C05	Заболевания опорно-двигательной системы
Dwarfism	C05	Заболевания опорно-двигательной системы
Thyroid Dyshormonogenesis 1	C05	Заболевания опорно-двигательной системы
Juvenile-Onset Still Disease	C05	Заболевания опорно-двигательной системы
Juvenile arthritis	C05	Заболевания опорно-двигательной системы
Juvenile psoriatic arthritis	C05	Заболевания опорно-двигательной системы
Polyarthritis, Juvenile, Rheumatoid Factor Negative	C05	Заболевания опорно-двигательной системы
Polyarthritis, Juvenile, Rheumatoid Factor Positive	C05	Заболевания опорно-двигательной системы
Craniofacial Abnormalities	C05	Заболевания опорно-двигательной системы
Osteoporosis, Postmenopausal	C05	Заболевания опорно-двигательной системы
Polymyositis	C05	Заболевания опорно-двигательной системы
Megaconial Myopathies	C05	Заболевания опорно-двигательной системы
Pleoconial Myopathies	C05	Заболевания опорно-двигательной системы
Mitochondrial Myopathies	C05	Заболевания опорно-двигательной системы
Polymyositis Ossificans	C05	Заболевания опорно-двигательной системы
Polymyositis, Idiopathic	C05	Заболевания опорно-двигательной системы
Luft Disease	C05	Заболевания опорно-двигательной системы
Systemic onset juvenile chronic arthritis	C05	Заболевания опорно-двигательной системы
Rheumatoid Arthritis, Systemic Juvenile	C05	Заболевания опорно-двигательной системы
Metabolic Bone Disorder	C05	Заболевания опорно-двигательной системы
Osteopenia	C05	Заболевания опорно-двигательной системы
Bone neoplasms	C05	Заболевания опорно-двигательной системы
Kienbock Disease	C05	Заболевания опорно-двигательной системы
Mandibular Diseases	C05	Заболевания опорно-двигательной системы
Marfan Syndrome	C05	Заболевания опорно-двигательной системы
Maxillary Diseases	C05	Заболевания опорно-двигательной системы
Avascular necrosis of bone	C05	Заболевания опорно-двигательной системы
Nose Neoplasms	C05	Заболевания опорно-двигательной системы
Bone necrosis	C05	Заболевания опорно-двигательной системы
Malignant Bone Neoplasm	C05	Заболевания опорно-двигательной системы
Aseptic Necrosis of Bone	C05	Заболевания опорно-двигательной системы
Cancer of Nose	C05	Заболевания опорно-двигательной системы
Marfan Syndrome, Type I	C05	Заболевания опорно-двигательной системы
Muscular Dystrophy	C05	Заболевания опорно-двигательной системы
Bamforth syndrome	C05	Заболевания опорно-двигательной системы
Hypothyroidism, Thyroidal, With Spiky Hair And Cleft Palate	C05	Заболевания опорно-двигательной системы
Muscular Dystrophy, Facioscapulohumeral	C05	Заболевания опорно-двигательной системы
Loeys-Dietz Syndrome	C05	Заболевания опорно-двигательной системы
Juvenile osteoporosis	C05	Заболевания опорно-двигательной системы
Synpolydactyly 2	C05	Заболевания опорно-двигательной системы
Myositis	C05	Заболевания опорно-двигательной системы
Infectious Myositis	C05	Заболевания опорно-двигательной системы
Myositis, Proliferative	C05	Заболевания опорно-двигательной системы
Idiopathic Inflammatory Myopathies	C05	Заболевания опорно-двигательной системы
Myositis, Focal	C05	Заболевания опорно-двигательной системы
Acromegaly	C05	Заболевания опорно-двигательной системы
Seckel syndrome	C05	Заболевания опорно-двигательной системы
Malpuech facial clefting syndrome	C05	Заболевания опорно-двигательной системы
Oculopalatoskeletal syndrome	C05	Заболевания опорно-двигательной системы
Carnevale syndrome	C05	Заболевания опорно-двигательной системы
Keutel syndrome	C05	Заболевания опорно-двигательной системы
Metaphyseal anadysplasia	C05	Заболевания опорно-двигательной системы
Mandibuloacral dysostosis	C05	Заболевания опорно-двигательной системы
Metaphyseal Anadysplasia 2	C05	Заболевания опорно-двигательной системы
