source	target	diseaseName
Angiopoietin-related protein 3	Болезни нарушения питания и обмена веществ	Hypobetalipoproteinemia, Familial, 2
Apolipoprotein A-II	Болезни нарушения питания и обмена веществ	Hypercholesterolemia, Familial
Apolipoprotein A-II	Болезни нарушения питания и обмена веществ	Hyperlipoproteinemia Type IIa
Apolipoprotein A-II	Болезни нарушения питания и обмена веществ	Hyperlipoproteinemia Type IIb
Apolipoprotein A-IV	Болезни нарушения питания и обмена веществ	Hypercholesterolemia, Familial
Apolipoprotein A-IV	Болезни нарушения питания и обмена веществ	Hyperlipoproteinemia Type IIa
Apolipoprotein A-IV	Болезни нарушения питания и обмена веществ	Hyperlipoproteinemia Type IIb
Apolipoprotein C-II	Болезни нарушения питания и обмена веществ	Hyperlipoproteinemia Type I
Apolipoprotein C-II	Болезни нарушения питания и обмена веществ	Familial apolipoprotein C-II deficiency
Apolipoprotein C-II	Болезни нарушения питания и обмена веществ	Apolipoprotein C-II Deficiency (disorder)
Apolipoprotein C-III	Болезни нарушения питания и обмена веществ	Celiac Disease
Apolipoprotein C-III	Болезни нарушения питания и обмена веществ	Hypercholesterolemia, Familial
Apolipoprotein C-III	Болезни нарушения питания и обмена веществ	Cholesteryl Ester Transfer Protein Deficiency
Apolipoprotein C-III	Болезни нарушения питания и обмена веществ	Hyperlipoproteinemia Type IIa
Apolipoprotein C-III	Болезни нарушения питания и обмена веществ	Hyperlipoproteinemia Type IIb
Apolipoprotein E	Болезни нарушения питания и обмена веществ	Hepatolenticular Degeneration
Apolipoprotein E	Болезни нарушения питания и обмена веществ	Hypercholesterolemia, Familial
Apolipoprotein E	Болезни нарушения питания и обмена веществ	Hyperlipoproteinemia Type III
Apolipoprotein E	Болезни нарушения питания и обмена веществ	Obesity
Apolipoprotein E	Болезни нарушения питания и обмена веществ	Sea-Blue Histiocyte Syndrome
Apolipoprotein E	Болезни нарушения питания и обмена веществ	Cerebral Amyloid Angiopathy
Apolipoprotein E	Болезни нарушения питания и обмена веществ	Sporadic Cerebral Amyloid Angiopathy
Apolipoprotein E	Болезни нарушения питания и обмена веществ	Hyperlipoproteinemia Type IIa
Apolipoprotein E	Болезни нарушения питания и обмена веществ	Hepatic Form of Wilson Disease
Apolipoprotein E	Болезни нарушения питания и обмена веществ	Hyperlipoproteinemia Type IIb
Aromatase	Болезни нарушения питания и обмена веществ	Osteoporosis, Age-Related
Aromatase	Болезни нарушения питания и обмена веществ	Osteoporosis
Aromatase	Болезни нарушения питания и обмена веществ	Osteoporosis, Senile
Aromatase	Болезни нарушения питания и обмена веществ	Gestational Diabetes
Aromatase	Болезни нарушения питания и обмена веществ	Post-Traumatic Osteoporosis
Aromatase	Болезни нарушения питания и обмена веществ	Aromatase deficiency
Aromatase	Болезни нарушения питания и обмена веществ	AROMATASE EXCESS SYNDROME
Autism susceptibility gene 2 protein	Болезни нарушения питания и обмена веществ	Diabetes Mellitus, Non-Insulin-Dependent
Beta-Ala-His dipeptidase	Болезни нарушения питания и обмена веществ	Homocarnosinosis
Beta-Ala-His dipeptidase	Болезни нарушения питания и обмена веществ	Homocarnosinase deficiency
Beta-Ala-His dipeptidase	Болезни нарушения питания и обмена веществ	Carnosinemia
Carboxypeptidase B2	Болезни нарушения питания и обмена веществ	Obesity
Carboxypeptidase N catalytic chain	Болезни нарушения питания и обмена веществ	Carboxypeptidase N Deficiency
CD40 ligand	Болезни нарушения питания и обмена веществ	Amyotrophic Lateral Sclerosis
CD40 ligand	Болезни нарушения питания и обмена веществ	Amyotrophic Lateral Sclerosis With Dementia
CD40 ligand	Болезни нарушения питания и обмена веществ	Amyotrophic Lateral Sclerosis, Guam Form
CD44 antigen	Болезни нарушения питания и обмена веществ	Hereditary Nonpolyposis Colorectal Neoplasms
CD44 antigen	Болезни нарушения питания и обмена веществ	Hereditary Nonpolyposis Colorectal Cancer
CD44 antigen	Болезни нарушения питания и обмена веществ	Lynch Syndrome
cDNA FLJ53327, highly similar to Gelsolin	Болезни нарушения питания и обмена веществ	Diabetes Mellitus
cDNA FLJ53327, highly similar to Gelsolin	Болезни нарушения питания и обмена веществ	Diabetes Mellitus, Insulin-Dependent
cDNA FLJ53327, highly similar to Gelsolin	Болезни нарушения питания и обмена веществ	Hemochromatosis
cDNA FLJ53327, highly similar to Gelsolin	Болезни нарушения питания и обмена веществ	Hepatolenticular Degeneration
cDNA FLJ53327, highly similar to Gelsolin	Болезни нарушения питания и обмена веществ	Menkes Kinky Hair Syndrome
cDNA FLJ53327, highly similar to Gelsolin	Болезни нарушения питания и обмена веществ	Diabetes, Autoimmune
cDNA FLJ53327, highly similar to Gelsolin	Болезни нарушения питания и обмена веществ	Brittle diabetes
cDNA FLJ53327, highly similar to Gelsolin	Болезни нарушения питания и обмена веществ	Hereditary hemochromatosis
cDNA FLJ53327, highly similar to Gelsolin	Болезни нарушения питания и обмена веществ	Ceruloplasmin deficiency
cDNA FLJ53327, highly similar to Gelsolin	Болезни нарушения питания и обмена веществ	Hepatic Form of Wilson Disease
cDNA FLJ53327, highly similar to Gelsolin	Болезни нарушения питания и обмена веществ	Familial apoceruloplasmin deficiency
cDNA FLJ53327, highly similar to Gelsolin	Болезни нарушения питания и обмена веществ	Diabetes Mellitus, Ketosis-Prone
cDNA FLJ53327, highly similar to Gelsolin	Болезни нарушения питания и обмена веществ	Diabetes Mellitus, Sudden-Onset
Cholesteryl ester transfer protein	Болезни нарушения питания и обмена веществ	Obesity
Cholesteryl ester transfer protein	Болезни нарушения питания и обмена веществ	Pseudocholinesterase deficiency
Cholesteryl ester transfer protein	Болезни нарушения питания и обмена веществ	Butyrylcholinesterase deficiency
Cholesteryl ester transfer protein	Болезни нарушения питания и обмена веществ	Suxamethonium sensitivity
Cholesteryl ester transfer protein	Болезни нарушения питания и обмена веществ	Apnea, Postanesthetic
Claudin-5	Болезни нарушения питания и обмена веществ	AMYOTROPHIC LATERAL SCLEROSIS 1
Claudin-5	Болезни нарушения питания и обмена веществ	Amyotrophic Lateral Sclerosis, Sporadic
Claudin-5	Болезни нарушения питания и обмена веществ	Amyotrophic Lateral Sclerosis, Familial
Clusterin	Болезни нарушения питания и обмена веществ	Coumarin Resistance
Collagen alpha-1(I) chain	Болезни нарушения питания и обмена веществ	Acrogeria
Collagen alpha-1(I) chain	Болезни нарушения питания и обмена веществ	Acrogeria, gottron type
Collagen alpha-1(XVIII) chain	Болезни нарушения питания и обмена веществ	Osteoporosis, Age-Related
Collagen alpha-1(XVIII) chain	Болезни нарушения питания и обмена веществ	Osteoporosis
Collagen alpha-1(XVIII) chain	Болезни нарушения питания и обмена веществ	Osteoporosis, Senile
Collagen alpha-1(XVIII) chain	Болезни нарушения питания и обмена веществ	EHLERS-DANLOS SYNDROME, ARTHROCHALASIA TYPE
Collagen alpha-1(XVIII) chain	Болезни нарушения питания и обмена веществ	Post-Traumatic Osteoporosis
Dickkopf-related protein 1	Болезни нарушения питания и обмена веществ	Juvenile osteoporosis
Gelsolin	Болезни нарушения питания и обмена веществ	Osteoporosis, Age-Related
Gelsolin	Болезни нарушения питания и обмена веществ	Osteoporosis
Gelsolin	Болезни нарушения питания и обмена веществ	Osteoporosis, Senile
Gelsolin	Болезни нарушения питания и обмена веществ	Amyloidosis, familial visceral
Gelsolin	Болезни нарушения питания и обмена веществ	Post-Traumatic Osteoporosis
Gelsolin	Болезни нарушения питания и обмена веществ	Familial Amyloid Polyneuropathy, Type IV
Gelsolin	Болезни нарушения питания и обмена веществ	Meretoja syndrome
Gelsolin	Болезни нарушения питания и обмена веществ	Lattice corneal dystrophy Type II
Gelsolin	Болезни нарушения питания и обмена веществ	Cerebral Amyloid Angiopathy, Gsn-Related
Glial fibrillary acidic protein	Болезни нарушения питания и обмена веществ	Amyotrophic Lateral Sclerosis
Glial fibrillary acidic protein	Болезни нарушения питания и обмена веществ	Alexander Disease
Glial fibrillary acidic protein	Болезни нарушения питания и обмена веществ	Amyotrophic Lateral Sclerosis With Dementia
Glial fibrillary acidic protein	Болезни нарушения питания и обмена веществ	Amyotrophic Lateral Sclerosis, Guam Form
Glial fibrillary acidic protein	Болезни нарушения питания и обмена веществ	AMYOTROPHIC LATERAL SCLEROSIS 1
Glial fibrillary acidic protein	Болезни нарушения питания и обмена веществ	Amyotrophic Lateral Sclerosis, Sporadic
Glial fibrillary acidic protein	Болезни нарушения питания и обмена веществ	Ceroid lipofuscinosis, neuronal 1, infantile
Glial fibrillary acidic protein	Болезни нарушения питания и обмена веществ	Amyotrophic Lateral Sclerosis, Familial
Glutathione S-transferase P	Болезни нарушения питания и обмена веществ	Amyotrophic Lateral Sclerosis
Glutathione S-transferase P	Болезни нарушения питания и обмена веществ	Amyotrophic Lateral Sclerosis With Dementia
Glutathione S-transferase P	Болезни нарушения питания и обмена веществ	Amyotrophic Lateral Sclerosis, Guam Form
Insulin-like growth factor I	Болезни нарушения питания и обмена веществ	Alloxan Diabetes
Insulin-like growth factor I	Болезни нарушения питания и обмена веществ	Metabolic Bone Disorder
Insulin-like growth factor I	Болезни нарушения питания и обмена веществ	Diabetes Mellitus, Experimental
Insulin-like growth factor I	Болезни нарушения питания и обмена веществ	Diabetes Mellitus, Insulin-Dependent
Insulin-like growth factor I	Болезни нарушения питания и обмена веществ	Osteopenia
Insulin-like growth factor I	Болезни нарушения питания и обмена веществ	Streptozotocin Diabetes
Insulin-like growth factor I	Болезни нарушения питания и обмена веществ	Diabetes, Autoimmune
Insulin-like growth factor I	Болезни нарушения питания и обмена веществ	Brittle diabetes
Insulin-like growth factor I	Болезни нарушения питания и обмена веществ	Diabetes Mellitus, Ketosis-Prone
Insulin-like growth factor I	Болезни нарушения питания и обмена веществ	Diabetes Mellitus, Sudden-Onset
Lactotransferrin	Болезни нарушения питания и обмена веществ	Osteoporosis, Age-Related
Lactotransferrin	Болезни нарушения питания и обмена веществ	Osteoporosis
Lactotransferrin	Болезни нарушения питания и обмена веществ	Osteoporosis, Senile
Lactotransferrin	Болезни нарушения питания и обмена веществ	Post-Traumatic Osteoporosis
Lipopolysaccharide-binding protein	Болезни нарушения питания и обмена веществ	Obesity
Matrix Gla protein	Болезни нарушения питания и обмена веществ	Keutel syndrome
Matrix metalloproteinase-9	Болезни нарушения питания и обмена веществ	Alloxan Diabetes
Matrix metalloproteinase-9	Болезни нарушения питания и обмена веществ	Diabetes Mellitus, Experimental
Matrix metalloproteinase-9	Болезни нарушения питания и обмена веществ	Obesity
Matrix metalloproteinase-9	Болезни нарушения питания и обмена веществ	Streptozotocin Diabetes
Matrix metalloproteinase-9	Болезни нарушения питания и обмена веществ	Mandibuloacral dysostosis
Metalloproteinase inhibitor 1	Болезни нарушения питания и обмена веществ	Alloxan Diabetes
Metalloproteinase inhibitor 1	Болезни нарушения питания и обмена веществ	Diabetes Mellitus, Experimental
Metalloproteinase inhibitor 1	Болезни нарушения питания и обмена веществ	Diabetes Mellitus, Non-Insulin-Dependent
Metalloproteinase inhibitor 1	Болезни нарушения питания и обмена веществ	Hepatolenticular Degeneration
Metalloproteinase inhibitor 1	Болезни нарушения питания и обмена веществ	Streptozotocin Diabetes
Metalloproteinase inhibitor 1	Болезни нарушения питания и обмена веществ	Hepatic Form of Wilson Disease
Metalloproteinase inhibitor 2	Болезни нарушения питания и обмена веществ	Alloxan Diabetes
Metalloproteinase inhibitor 2	Болезни нарушения питания и обмена веществ	Diabetes Mellitus, Experimental
Metalloproteinase inhibitor 2	Болезни нарушения питания и обмена веществ	Streptozotocin Diabetes
Microtubule-associated protein tau	Болезни нарушения питания и обмена веществ	Frontotemporal dementia
Microtubule-associated protein tau	Болезни нарушения питания и обмена веществ	Semantic Dementia
Microtubule-associated protein tau	Болезни нарушения питания и обмена веществ	Primary Progressive Nonfluent Aphasia
Microtubule-associated protein tau	Болезни нарушения питания и обмена веществ	Behavioral variant of frontotemporal dementia
Neutrophil gelatinase-associated lipocalin	Болезни нарушения питания и обмена веществ	Celiac Disease
Occludin	Болезни нарушения питания и обмена веществ	Baraitser Brett Piesowicz syndrome
Peroxiredoxin-1	Болезни нарушения питания и обмена веществ	Methylmalonic acidemia with homocystinuria
Phosphatidylcholine-sterol acyltransferase	Болезни нарушения питания и обмена веществ	Lecithin Acyltransferase Deficiency
Phosphatidylcholine-sterol acyltransferase	Болезни нарушения питания и обмена веществ	Fish-Eye Disease
Platelet-activating factor acetylhydrolase	Болезни нарушения питания и обмена веществ	Inborn Errors of Metabolism
Proenkephalin-A	Болезни нарушения питания и обмена веществ	AMYOTROPHIC LATERAL SCLEROSIS 1
Proenkephalin-A	Болезни нарушения питания и обмена веществ	Amyotrophic Lateral Sclerosis, Sporadic
Proenkephalin-A	Болезни нарушения питания и обмена веществ	Amyotrophic Lateral Sclerosis, Familial
Protein_deglycase_DJ-1	Болезни нарушения питания и обмена веществ	Osteoporosis, Age-Related
Protein_deglycase_DJ-1	Болезни нарушения питания и обмена веществ	Osteoporosis
Protein_deglycase_DJ-1	Болезни нарушения питания и обмена веществ	Osteoporosis, Senile
Protein_deglycase_DJ-1	Болезни нарушения питания и обмена веществ	Amyotrophic Lateral Sclerosis, Guam Form
Protein_deglycase_DJ-1	Болезни нарушения питания и обмена веществ	Post-Traumatic Osteoporosis
Resistin	Болезни нарушения питания и обмена веществ	Diabetes Mellitus, Non-Insulin-Dependent
Serum amyloid A-1 and A-2 proteins	Болезни нарушения питания и обмена веществ	Reactive systemic amyloidosis
Serum paraoxonase/arylesterase 1	Болезни нарушения питания и обмена веществ	Amyotrophic Lateral Sclerosis
Serum paraoxonase/arylesterase 1	Болезни нарушения питания и обмена веществ	Diabetes Mellitus
Serum paraoxonase/arylesterase 1	Болезни нарушения питания и обмена веществ	Hypercholesterolemia, Familial
Serum paraoxonase/arylesterase 1	Болезни нарушения питания и обмена веществ	Amyotrophic Lateral Sclerosis With Dementia
Serum paraoxonase/arylesterase 1	Болезни нарушения питания и обмена веществ	Amyotrophic Lateral Sclerosis, Guam Form
Serum paraoxonase/arylesterase 1	Болезни нарушения питания и обмена веществ	Hyperhomocysteinemia
Serum paraoxonase/arylesterase 1	Болезни нарушения питания и обмена веществ	Hyperlipoproteinemia Type IIa
Serum paraoxonase/arylesterase 1	Болезни нарушения питания и обмена веществ	Hyperlipoproteinemia Type IIb
Serum paraoxonase/arylesterase 1	Болезни нарушения питания и обмена веществ	AMYOTROPHIC LATERAL SCLEROSIS 1
Serum paraoxonase/arylesterase 1	Болезни нарушения питания и обмена веществ	Amyotrophic Lateral Sclerosis, Sporadic
Serum paraoxonase/arylesterase 1	Болезни нарушения питания и обмена веществ	Amyotrophic Lateral Sclerosis, Familial
Serum paraoxonase/lactonase 3	Болезни нарушения питания и обмена веществ	Amyotrophic Lateral Sclerosis
Stromelysin-1	Болезни нарушения питания и обмена веществ	Celiac Disease
Xaa-Pro dipeptidase	Болезни нарушения питания и обмена веществ	Diabetes Mellitus, Non-Insulin-Dependent
Alpha-1-antitrypsin	Болезни кожи и соединительной ткани	Panniculitis, Nodular Nonsuppurative
C-reactive protein	Болезни кожи и соединительной ткани	Pustulosis of Palms and Soles
C-reactive protein	Болезни кожи и соединительной ткани	Psoriasis
Complement C1s subcomponent	Болезни кожи и соединительной ткани	Lupus Erythematosus, Discoid
Complement C1s subcomponent	Болезни кожи и соединительной ткани	Dermatitis, Irritant
Complement C3	Болезни кожи и соединительной ткани	Lupus Erythematosus, Discoid
Ferritin heavy chain	Болезни кожи и соединительной ткани	Contact Dermatitis
Ferritin heavy chain	Болезни кожи и соединительной ткани	Contact hypersensitivity
Myeloperoxidase	Болезни кожи и соединительной ткани	Keratosis
Myeloperoxidase	Болезни кожи и соединительной ткани	Keratosis Blennorrhagica
Myeloperoxidase	Болезни кожи и соединительной ткани	Keratoma
Prolactin	Болезни кожи и соединительной ткани	Gynecomastia
Prolactin	Болезни кожи и соединительной ткани	Adolescent Gynecomastia
Prolactin	Болезни кожи и соединительной ткани	Infant Gynecomastia
Complement component C8 beta chain	Болезни кожи и соединительной ткани	Facial Dermatoses
Complement component C8 beta chain	Болезни кожи и соединительной ткани	Favre-Racouchot Syndrome
Complement component C8 beta chain	Болезни кожи и соединительной ткани	Nodular Elastoidosis
Epidermal growth factor receptor	Болезни кожи и соединительной ткани	Dermatitis
Epidermal growth factor receptor	Болезни кожи и соединительной ткани	Chloracne
Hemoglobin subunit alpha	Болезни кожи и соединительной ткани	Chloracne
Insulin-like growth factor-binding protein 2	Болезни кожи и соединительной ткани	Contact Dermatitis
Insulin-like growth factor-binding protein 2	Болезни кожи и соединительной ткани	Contact hypersensitivity
Interleukin-6	Болезни кожи и соединительной ткани	Pustulosis of Palms and Soles
Interleukin-6	Болезни кожи и соединительной ткани	Psoriasis
Interleukin-6	Болезни кожи и соединительной ткани	Dermatologic disorders
Interleukin-6	Болезни кожи и соединительной ткани	Lichenoid Eruptions
Prothrombin	Болезни кожи и соединительной ткани	Skin Diseases, Vascular
Actin, aortic smooth muscle	Болезни кожи и соединительной ткани	Systemic Scleroderma
Apolipoprotein E	Болезни кожи и соединительной ткани	Pustulosis of Palms and Soles
Apolipoprotein E	Болезни кожи и соединительной ткани	Psoriasis
Beta-nerve growth factor	Болезни кожи и соединительной ткани	Skin Ulcer
CD44 antigen	Болезни кожи и соединительной ткани	Contact Dermatitis
CD44 antigen	Болезни кожи и соединительной ткани	Dermatologic disorders
CD44 antigen	Болезни кожи и соединительной ткани	Vitiligo
CD44 antigen	Болезни кожи и соединительной ткани	Contact hypersensitivity
cDNA FLJ53327, highly similar to Gelsolin	Болезни кожи и соединительной ткани	Pustulosis of Palms and Soles
cDNA FLJ53327, highly similar to Gelsolin	Болезни кожи и соединительной ткани	Psoriasis
Collagen alpha-1(XVIII) chain	Болезни кожи и соединительной ткани	Systemic Scleroderma
Collagen alpha-2(I) chain	Болезни кожи и соединительной ткани	Exanthema
Follistatin-related protein 1	Болезни кожи и соединительной ткани	Systemic Scleroderma
Glutathione S-transferase P	Болезни кожи и соединительной ткани	Contact Dermatitis
Glutathione S-transferase P	Болезни кожи и соединительной ткани	Contact hypersensitivity
Heat shock protein beta-1	Болезни кожи и соединительной ткани	Contact Dermatitis
Heat shock protein beta-1	Болезни кожи и соединительной ткани	Contact hypersensitivity
Keratin type I cytoskeletal 10	Болезни кожи и соединительной ткани	Contact Dermatitis
Keratin type I cytoskeletal 10	Болезни кожи и соединительной ткани	Contact hypersensitivity
Keratin-type II cytoskeletal 2 epidermal	Болезни кожи и соединительной ткани	Contact Dermatitis
Keratin-type II cytoskeletal 2 epidermal	Болезни кожи и соединительной ткани	Contact hypersensitivity
Mannan-binding lectin serine protease 2A	Болезни кожи и соединительной ткани	Erythema Multiforme
Neutrophil gelatinase-associated lipocalin	Болезни кожи и соединительной ткани	Contact Dermatitis
Neutrophil gelatinase-associated lipocalin	Болезни кожи и соединительной ткани	Contact hypersensitivity
Serum amyloid A-1 and A-2 proteins	Болезни кожи и соединительной ткани	Contact Dermatitis
Serum amyloid A-1 and A-2 proteins	Болезни кожи и соединительной ткани	Contact hypersensitivity
Vascular cell adhesion protein 1	Болезни кожи и соединительной ткани	Dermatitis
Vascular non-inflammatory molecule 3	Болезни кожи и соединительной ткани	Pustulosis of Palms and Soles
Vascular non-inflammatory molecule 3	Болезни кожи и соединительной ткани	Psoriasis
Xaa-Pro dipeptidase	Болезни кожи и соединительной ткани	Skin Ulcer
Alpha-2-HS-glycoprotein	Болезни кожи и соединительной ткани	Alopecia-Mental Retardation Syndrome 1
Alpha-2-HS-glycoprotein	Болезни кожи и соединительной ткани	Perniola Krajewska Carnevale syndrome
Alpha-2-HS-glycoprotein	Болезни кожи и соединительной ткани	AMR Syndrome
Apolipoprotein A-I	Болезни кожи и соединительной ткани	Behcet Syndrome
Apolipoprotein A-I	Болезни кожи и соединительной ткани	Drug Eruptions
Apolipoprotein A-I	Болезни кожи и соединительной ткани	Morbilliform Drug Reaction
Apolipoprotein B-100	Болезни кожи и соединительной ткани	Behcet Syndrome
C-reactive protein	Болезни кожи и соединительной ткани	Rheumatoid Arthritis
C-reactive protein	Болезни кожи и соединительной ткани	Leishmaniasis
C-reactive protein	Болезни кожи и соединительной ткани	Lupus Erythematosus, Systemic
C-reactive protein	Болезни кожи и соединительной ткани	Libman-Sacks Disease
Coagulation factor XIII B chain	Болезни кожи и соединительной ткани	Ehlers-Danlos Syndrome
Coagulation factor XIII B chain	Болезни кожи и соединительной ткани	Keloid
Coagulation factor XIII B chain	Болезни кожи и соединительной ткани	Lobstein Disease
Coagulation factor XIII B chain	Болезни кожи и соединительной ткани	Osteogenesis Imperfecta
Coagulation factor XIII B chain	Болезни кожи и соединительной ткани	Ehlers-Danlos Syndrome, Autosomal Dominant, Type Unspecified
Coagulation factor XIII B chain	Болезни кожи и соединительной ткани	EHLERS-DANLOS SYNDROME, ARTHROCHALASIA TYPE
Coagulation factor XIII B chain	Болезни кожи и соединительной ткани	Osteogenesis imperfecta, dominant perinatal lethal
Coagulation factor XIII B chain	Болезни кожи и соединительной ткани	Osteogenesis imperfecta type III (disorder)
Coagulation factor XIII B chain	Болезни кожи и соединительной ткани	Nephrogenic Fibrosing Dermopathy
Coagulation factor XIII B chain	Болезни кожи и соединительной ткани	EHLERS-DANLOS SYNDROME, ARTHROCHALASIA TYPE, 1
Complement C1q subcomponent subunit A	Болезни кожи и соединительной ткани	Malignant neoplasm of breast
Complement C1q subcomponent subunit A	Болезни кожи и соединительной ткани	Lupus Erythematosus, Systemic
Complement C1q subcomponent subunit C	Болезни кожи и соединительной ткани	Lupus Erythematosus, Systemic
Complement C1q subcomponent subunit C	Болезни кожи и соединительной ткани	Ehlers-Danlos Syndrome, Type VIII
Complement C1q subcomponent subunit C	Болезни кожи и соединительной ткани	EHLERS-DANLOS SYNDROME, PERIODONTAL TYPE, 1
Complement C1s subcomponent	Болезни кожи и соединительной ткани	Dermatomyositis
Complement C1s subcomponent	Болезни кожи и соединительной ткани	Lupus Vulgaris
Complement C1s subcomponent	Болезни кожи и соединительной ткани	Lupus Erythematosus, Systemic
Complement C1s subcomponent	Болезни кожи и соединительной ткани	Adult type dermatomyositis
Complement C1s subcomponent	Болезни кожи и соединительной ткани	Dermatomyositis, Childhood Type
Complement C1s subcomponent	Болезни кожи и соединительной ткани	Lupus Erythematosus
Ferritin heavy chain	Болезни кожи и соединительной ткани	Keloid
Ferritin light chain	Болезни кожи и соединительной ткани	Keloid
Fibrinogen gamma chain	Болезни кожи и соединительной ткани	Keloid
Fibronectin	Болезни кожи и соединительной ткани	Malignant neoplasm of breast
Fibronectin	Болезни кожи и соединительной ткани	Breast Carcinoma
Fibronectin	Болезни кожи и соединительной ткани	Mammary Neoplasms, Human
Fibronectin	Болезни кожи и соединительной ткани	Mammary Neoplasms
Fibronectin	Болезни кожи и соединительной ткани	Mammary Carcinoma, Human
Haptoglobin	Болезни кожи и соединительной ткани	Malignant neoplasm of breast
Haptoglobin	Болезни кожи и соединительной ткани	Breast Carcinoma
Haptoglobin	Болезни кожи и соединительной ткани	Mammary Neoplasms, Human
Haptoglobin	Болезни кожи и соединительной ткани	Mammary Neoplasms
Haptoglobin	Болезни кожи и соединительной ткани	Mammary Carcinoma, Human
Insulin-like growth factor-binding protein 3	Болезни кожи и соединительной ткани	Rheumatoid Arthritis
Myeloperoxidase	Болезни кожи и соединительной ткани	Rheumatoid Arthritis
Myeloperoxidase	Болезни кожи и соединительной ткани	Drug Eruptions
Myeloperoxidase	Болезни кожи и соединительной ткани	Urticaria
Myeloperoxidase	Болезни кожи и соединительной ткани	Morbilliform Drug Reaction
Plasma protease C1 inhibitor	Болезни кожи и соединительной ткани	Angioedemas, Hereditary
Plasma protease C1 inhibitor	Болезни кожи и соединительной ткани	Lupus Nephritis
Plasma protease C1 inhibitor	Болезни кожи и соединительной ткани	Hereditary C1 esterase inhibitor deficiency - deficient factor
Plasma protease C1 inhibitor	Болезни кожи и соединительной ткани	Hereditary C1 esterase inhibitor deficiency - dysfunctional factor
Plasma protease C1 inhibitor	Болезни кожи и соединительной ткани	Hereditary Angioedema Type II
Plasma protease C1 inhibitor	Болезни кожи и соединительной ткани	Hereditary Angioedema Types I and II
Plasma protease C1 inhibitor	Болезни кожи и соединительной ткани	Hereditary Angioedema Type I
Plasma protease C1 inhibitor	Болезни кожи и соединительной ткани	Acquired angioedema
Plasminogen	Болезни кожи и соединительной ткани	Ligneous conjunctivitis
Plasminogen	Болезни кожи и соединительной ткани	Plasminogen Deficiency, Type I
Plasminogen activator inhibitor 1	Болезни кожи и соединительной ткани	Behcet Syndrome
Prolactin	Болезни кожи и соединительной ткани	Lupus Erythematosus, Systemic
Prolactin	Болезни кожи и соединительной ткани	Libman-Sacks Disease
Prolactin	Болезни кожи и соединительной ткани	Galactorrhea
Serum albumin	Болезни кожи и соединительной ткани	Angioedema
Serum albumin	Болезни кожи и соединительной ткани	Toxic Epidermal Necrolysis
Serum albumin	Болезни кожи и соединительной ткани	Keloid
Serum albumin	Болезни кожи и соединительной ткани	Serum Sickness
Serum albumin	Болезни кожи и соединительной ткани	Stevens-Johnson Syndrome
Serum albumin	Болезни кожи и соединительной ткани	Urticaria
Serum albumin	Болезни кожи и соединительной ткани	Drug-Induced Stevens Johnson Syndrome
Serum albumin	Болезни кожи и соединительной ткани	Mycoplasma-Induced Stevens-Johnson Syndrome
Serum albumin	Болезни кожи и соединительной ткани	Stevens-Johnson Syndrome Toxic Epidermal Necrolysis Spectrum
Tissue-type plasminogen activator	Болезни кожи и соединительной ткани	Angioedema
Tissue-type plasminogen activator	Болезни кожи и соединительной ткани	Dermatitis, Allergic Contact
Transferrin receptor protein 1	Болезни кожи и соединительной ткани	Malignant neoplasm of breast
Transferrin receptor protein 1	Болезни кожи и соединительной ткани	Breast Carcinoma
Transferrin receptor protein 1	Болезни кожи и соединительной ткани	Mammary Neoplasms, Human
Transferrin receptor protein 1	Болезни кожи и соединительной ткани	Mammary Neoplasms
Transferrin receptor protein 1	Болезни кожи и соединительной ткани	Mammary Carcinoma, Human
Transthyretin	Болезни кожи и соединительной ткани	Drug Eruptions
Transthyretin	Болезни кожи и соединительной ткани	Morbilliform Drug Reaction
Vitamin K-dependent protein S	Болезни кожи и соединительной ткани	Juvenile-Onset Still Disease
Vitamin K-dependent protein S	Болезни кожи и соединительной ткани	Juvenile arthritis
Vitamin K-dependent protein S	Болезни кожи и соединительной ткани	Juvenile psoriatic arthritis
Vitamin K-dependent protein S	Болезни кожи и соединительной ткани	Polyarthritis, Juvenile, Rheumatoid Factor Negative
Vitamin K-dependent protein S	Болезни кожи и соединительной ткани	Polyarthritis, Juvenile, Rheumatoid Factor Positive
von Willebrand factor	Болезни кожи и соединительной ткани	Malignant neoplasm of breast
Adiponectin	Болезни кожи и соединительной ткани	Rheumatoid Arthritis
Coagulation factor XI	Болезни кожи и соединительной ткани	Angioedemas, Hereditary
Coagulation factor XI	Болезни кожи и соединительной ткани	Hereditary Angioedema Type III
Coagulation factor XI	Болезни кожи и соединительной ткани	Hereditary angioedema with normal C1 esterase inhibitor activity
Coagulation factor XII	Болезни кожи и соединительной ткани	Dermatitis, Allergic Contact
Complement C2	Болезни кожи и соединительной ткани	Pemphigus
Complement C2	Болезни кожи и соединительной ткани	Pemphigus Vulgaris
Complement C2	Болезни кожи и соединительной ткани	Pemphigus Foliaceus
Complement component C8 alpha chain	Болезни кожи и соединительной ткани	Juvenile-Onset Still Disease
Complement component C8 alpha chain	Болезни кожи и соединительной ткани	Juvenile arthritis
Complement component C8 alpha chain	Болезни кожи и соединительной ткани	Juvenile psoriatic arthritis
Complement component C8 alpha chain	Болезни кожи и соединительной ткани	Polyarthritis, Juvenile, Rheumatoid Factor Negative
